EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
65YBGGENEX000002;GENEX;GENEX;;;Active;;;;Balance Group;Y
65YBG-GSE-TGRIDV;GSE_TRANSM_BG;GSE_TRANSM_BG;;;Active;;;;Balance Group;Y
66Y-00000000001F;FINLAND_GAS_BALZ;Finland Gas Market Balance Area;;21X000000001393X;Active;;;;Scheduling Area;Y
11Y0-0000-2753-U;EMCO_BG_IDA_RDIF;EMCO BG IDA Rounding Diff;;11XNPSPOT-ELBASW;Active;;;;Balance Group;Y
44Y-00000000596K;44Y-00000000596K;Oosinselän tuulipuisto 2;;44X-00000000163S;Active;;;;Metering Grid Area;Y
44Y-00000000597I;44Y-00000000597I;Oosinselän liityntäjohto;;44X-00000000160Y;Active;;;;Metering Grid Area;Y
44Y-00000000598G;44Y-00000000598G;Sandbacka Vindkraft Oy;;44X-00000000259F;Active;;;;Metering Grid Area;Y
44Y-00000000599E;44Y-00000000599E;Helen Aurinkopuisto Kalanti;;44X-00000000039T;Active;;;;Metering Grid Area;Y
44Y-00000000600I;44Y-00000000600I;Tuulipuisto Karahka;;44X-00000000039T;Active;;;;Metering Grid Area;Y
44Y-00000000601G;44Y-00000000601G;Tuulipuisto Niinimäki;;44X-00000000039T;Active;;;;Metering Grid Area;Y
44Y-00000000602E;44Y-00000000602E;Tuulipuisto Kalistanneva;;44X-00000000039T;Active;;;;Metering Grid Area;Y
44Y-00000000603C;44Y-00000000603C;Tuulipuisto Lakiakangas 3;;44X-00000000039T;Active;;;;Metering Grid Area;Y
14Y--CCPA-ID1--9;CCPAID1;CCP Austria Abwicklungsstelle für Börsengeschäfte GmbH;;14X----CCPA----8;Active;;;;Balance Group;Y
12Y-000000104Q-M;RESPECTNRJ-FU-BG;Respect Energy Fuels Sp. z o.o;;;Active;;;;Balance Group;Y
44Y-00000000604A;44Y-00000000604A;Tuulipuisto Juurakko;;44X-00000000039T;Active;;;;Metering Grid Area;Y
